scenario	newGroup	MSE_MLE	MSE_Ac	MSE_NoEx	ER_MLE	ER_Ac	ER_NoEx
4	pbtGroup13, category 1	190	186	163	0	0	4
4	pbtGroup13, category 2	421	421	404	-1	-1	8
4	pbtGroup14, category 1	242	242	234	0	0	1
4	pbtGroup14, category 2	533	533	516	0	0	2
4	pbtGroup15, category 1	337	337	303	-1	-1	8
4	pbtGroup15, category 2	777	777	884	-1	-1	18
4	pbtGroup16, category 1	303	303	298	0	0	1
4	pbtGroup16, category 2	695	695	685	1	1	2
4	pbtGroup17, category 1	366	366	345	-1	-1	1
4	pbtGroup17, category 2	850	850	827	0	0	5
4	pbtGroup18, category 1	548	550	519	0	0	5
4	pbtGroup18, category 2	1197	1198	1236	1	1	12
4	pbtGroup19, category 1	447	447	419	0	0	6
4	pbtGroup19, category 2	1010	1010	1085	1	1	15
4	pbtGroup2, category 1	141	135	105	0	0	6
4	pbtGroup2, category 2	352	349	363	0	0	13
4	pbtGroup20, category 1	501	501	480	0	0	7
4	pbtGroup20, category 2	1169	1168	1271	-1	-1	17
4	pbtGroup21, category 1	570	570	558	-1	-1	0
4	pbtGroup21, category 2	1230	1231	1219	2	1	4
4	pbtGroup22, category 1	597	597	704	0	0	17
4	pbtGroup22, category 2	1360	1362	2466	1	1	39
4	pbtGroup23, category 1	581	584	557	-1	-1	3
4	pbtGroup23, category 2	1467	1472	1435	-1	-1	7
4	pbtGroup25, category 1	1500	1505	1620	0	-1	17
4	pbtGroup25, category 2	3262	3272	4207	-3	-4	36
4	pbtGroup3, category 1	116	114	114	0	0	0
4	pbtGroup3, category 2	268	268	268	-1	-1	-1
4	pbtGroup4, category 1	148	146	137	0	0	1
4	pbtGroup4, category 2	338	338	321	0	0	2
4	pbtGroup5, category 1	151	151	148	0	0	0
4	pbtGroup5, category 2	356	356	348	-1	-1	0
4	pbtGroup6, category 1	137	136	121	0	0	2
4	pbtGroup6, category 2	318	318	297	0	0	5
4	pbtGroup7, category 1	151	151	140	0	0	1
4	pbtGroup7, category 2	326	327	305	-1	-1	2
4	pbtGroup9, category 1	166	164	161	0	0	1
4	pbtGroup9, category 2	397	397	390	1	1	1
5	GSI A, category 1	1769	1822	1763	1	1	-5
5	GSI A, category 2	902	997	1010	-1	1	-14
5	GSI B, category 1	3244	3396	6758	1	2	-65
5	GSI B, category 2	3052	3587	25585	-12	-1	-154
5	GSI C, category 1	19320	20168	175855	-3	-3	-404
5	GSI C, category 2	19843	20703	889198	-4	-2	-938
5	GSIgroup1, category 1	995	1029	992	0	1	-3
5	GSIgroup1, category 2	505	580	559	-3	0	-10
5	GSIgroup10, category 1	17233	17739	159818	-4	3	-383
5	GSIgroup10, category 2	20049	21563	813209	-7	3	-895
5	GSIgroup2, category 1	961	981	953	-1	0	-1
5	GSIgroup2, category 2	403	437	409	-2	0	-3
5	GSIgroup4, category 1	2098	2125	2163	-1	0	-13
5	GSIgroup4, category 2	1139	1312	1932	-7	-1	-32
5	GSIgroup5, category 1	3057	3314	6621	-7	-3	-65
5	GSIgroup5, category 2	2778	3693	22430	-12	5	-144
5	GSIgroup7, category 1	2692	2723	2944	0	0	-24
5	GSIgroup7, category 2	2016	2125	4434	-2	-1	-55
5	GSIgroup8, category 1	8767	8764	43095	-3	-2	-192
5	GSIgroup8, category 2	10257	10815	202019	-7	-2	-444
5	PBT A, category 1	486	485	464	1	-2	20
5	PBT A, category 2	1041	1227	2503	5	-1	49
5	PBT B, category 1	2186	2207	7985	3	1	87
5	PBT B, category 2	4346	4380	41432	3	-1	202
5	PBT C, category 1	865	865	1043	0	0	31
5	PBT C, category 2	1759	1746	5350	0	0	72
5	pbtGroup1, category 2	791	750	1100	0	-1	32
5	pbtGroup10, category 1	650	588	461	-1	-5	20
5	pbtGroup10, category 2	1282	1310	2685	2	0	50
5	pbtGroup12, category 1	624	568	731	2	0	26
5	pbtGroup12, category 2	1374	1513	3790	2	-1	60
5	pbtGroup13, category 1	582	1185	562	0	-10	22
5	pbtGroup13, category 2	1220	1216	3259	1	0	56
5	pbtGroup14, category 1	956	892	1285	0	-1	34
5	pbtGroup14, category 2	1844	1871	6810	4	3	81
5	pbtGroup15, category 1	955	920	1517	0	-1	37
5	pbtGroup15, category 2	2044	2026	8064	2	2	88
5	pbtGroup16, category 1	1123	1056	1953	-1	-2	42
5	pbtGroup16, category 2	2409	2395	10123	-3	-3	99
5	pbtGroup17, category 1	1229	1198	2907	1	1	52
5	pbtGroup17, category 2	2940	3052	14787	1	-1	120
5	pbtGroup18, category 1	1599	1639	4960	1	-1	68
5	pbtGroup18, category 2	3908	4000	26964	5	1	162
5	pbtGroup19, category 1	1596	1539	3769	0	0	59
5	pbtGroup19, category 2	3443	3482	19827	0	-1	139
5	pbtGroup2, category 1	364	364	258	1	1	15
5	pbtGroup2, category 2	778	762	1246	1	0	34
5	pbtGroup20, category 1	1671	1657	4529	-2	-2	65
5	pbtGroup20, category 2	3864	3904	25151	0	-1	156
5	pbtGroup21, category 1	1924	1916	5793	2	1	74
5	pbtGroup21, category 2	4010	4081	29389	2	-1	169
5	pbtGroup22, category 1	1960	1932	5436	-3	-3	71
5	pbtGroup22, category 2	3618	4141	29017	11	1	168
5	pbtGroup23, category 1	2030	2129	7693	4	0	85
5	pbtGroup23, category 2	4379	4484	40631	11	3	199
5	pbtGroup25, category 1	4862	4892	41579	3	1	200
5	pbtGroup25, category 2	11103	11386	217165	-1	-6	462
5	pbtGroup3, category 1	419	376	303	1	-2	16
5	pbtGroup3, category 2	840	903	1597	4	-1	39
5	pbtGroup4, category 1	497	497	488	0	0	21
5	pbtGroup4, category 2	1083	1154	2440	0	-1	48
5	pbtGroup5, category 1	481	500	489	0	-5	21
5	pbtGroup5, category 2	1278	1233	2883	3	1	52
5	pbtGroup6, category 1	450	383	338	-1	-3	17
5	pbtGroup6, category 2	1033	1028	1929	0	-1	43
5	pbtGroup7, category 1	502	484	455	0	-5	20
5	pbtGroup7, category 2	1109	1224	2497	3	-1	49
5	pbtGroup9, category 1	665	608	641	-1	-3	24
5	pbtGroup9, category 2	1391	1382	3478	0	-1	58
