sr	type	m_sd	u85	o95	range
0.05	Ac	88.6 +/- 2.1	1	1	84.1 - 96
0.075	Ac	88.8 +/- 1.3	0	0	85 - 92
0.1	Ac	88.9 +/- 1.5	0	0	85.6 - 92
0.15	Ac	89.5 +/- 1.5	0	0	86.2 - 92.2
0.2	Ac	89.6 +/- 1.6	0	0	86 - 93.6
0.25	Ac	89.8 +/- 1.5	0	0	86.4 - 92.8
0.3	Ac	89.7 +/- 1.2	0	0	87.4 - 91.6
0.35	Ac	89.6 +/- 1.4	0	0	85.4 - 92.4
0.4	Ac	89.9 +/- 1.2	0	0	87 - 92
0.05	MLE	88.5 +/- 2	1	1	84.7 - 96
0.075	MLE	88.8 +/- 1.3	0	0	85.6 - 91.6
0.1	MLE	88.8 +/- 1.6	0	0	85.8 - 92
0.15	MLE	89.5 +/- 1.5	0	0	86.4 - 92.2
0.2	MLE	89.7 +/- 1.5	0	0	86.2 - 94
0.25	MLE	89.9 +/- 1.4	0	0	86.4 - 93
0.3	MLE	89.7 +/- 1.3	0	0	87 - 91.8
0.35	MLE	89.7 +/- 1.5	0	0	85 - 93.4
0.4	MLE	89.8 +/- 1.2	0	0	87.4 - 92
