sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.1	Base	pbtGroup7	1059	1060	999	1	1	5
0.1	Base	pbtGroup9	1174	1174	1149	-1	-1	0
0.15	Base	GSI A	2990	2989	2976	2	2	-1
0.15	Base	GSI B	4433	4439	5935	1	2	-40
0.15	Base	GSI C	18840	18836	42008	20	20	-157
0.15	Base	GSIgroup1	1785	1786	1776	1	2	-1
0.15	Base	GSIgroup10	19049	19032	30262	-12	-9	-108
0.15	Base	GSIgroup2	1892	1891	1892	2	2	2
0.15	Base	GSIgroup4	3454	3454	3469	0	0	-3
0.15	Base	GSIgroup5	3901	3896	3959	0	1	-7
0.15	Base	GSIgroup7	4172	4172	4191	-1	-1	-4
0.15	Base	GSIgroup8	7280	7280	11238	4	4	-66
0.15	Base	PBT A	661	662	652	1	1	2
0.15	Base	PBT B	2869	2889	4929	0	-1	52
0.15	Base	PBT C	1599	1599	3925	-3	-3	58
0.15	Base	pbtGroup1	549	549	478	-1	-1	7
0.15	Base	pbtGroup10	743	743	708	1	1	5
0.15	Base	pbtGroup12	825	825	807	2	2	4
0.15	Base	pbtGroup13	831	831	770	-2	-2	11
0.15	Base	pbtGroup14	1090	1090	1044	-2	-2	1
0.15	Base	pbtGroup15	1322	1322	1758	2	2	28
0.15	Base	pbtGroup16	1258	1258	1241	1	1	3
0.15	Base	pbtGroup17	1724	1724	1698	2	2	9
0.15	Base	pbtGroup18	2164	2172	2220	0	0	16
0.15	Base	pbtGroup19	1929	1929	1963	-3	-3	17
0.15	Base	pbtGroup2	642	642	698	0	0	19
0.15	Base	pbtGroup20	2097	2097	2377	-1	-1	25
0.15	Base	pbtGroup21	2406	2408	2337	-5	-5	-2
0.15	Base	pbtGroup22	3065	3066	4700	-5	-5	51
0.15	Base	pbtGroup23	2966	2978	2876	-2	-3	9
0.15	Base	pbtGroup25	6417	6421	8873	1	0	57
0.15	Base	pbtGroup3	548	548	548	-1	-1	-1
0.15	Base	pbtGroup4	622	622	606	2	2	5
0.15	Base	pbtGroup5	760	760	744	-1	-1	0
0.15	Base	pbtGroup6	590	590	537	-1	-1	6
0.15	Base	pbtGroup7	718	718	666	-2	-2	3
