group	type	MSE
GSIgroup2_cat1	Ac	958
GSIgroup2_cat2	Ac	413
GSIgroup3_cat1	Ac	1618
GSIgroup3_cat2	Ac	773
GSIgroup4_cat1	Ac	1903
GSIgroup4_cat2	Ac	829
GSIgroup5_cat1	Ac	2086
GSIgroup5_cat2	Ac	927
GSIgroup6_cat1	Ac	2521
GSIgroup6_cat2	Ac	1239
GSIgroup7_cat1	Ac	2243
GSIgroup7_cat2	Ac	1038
GSIgroup8_cat1	Ac	5673
GSIgroup8_cat2	Ac	3111
GSIgroup9_cat1	Ac	10089
GSIgroup9_cat2	Ac	5733
pbtGroup1_cat2	Ac	264
pbtGroup10_cat1	Ac	158
pbtGroup10_cat2	Ac	359
pbtGroup11_cat1	Ac	339
pbtGroup11_cat2	Ac	836
pbtGroup12_cat1	Ac	187
pbtGroup12_cat2	Ac	446
pbtGroup13_cat1	Ac	186
pbtGroup13_cat2	Ac	421
pbtGroup14_cat1	Ac	242
pbtGroup14_cat2	Ac	533
pbtGroup15_cat1	Ac	337
pbtGroup15_cat2	Ac	777
pbtGroup16_cat1	Ac	303
pbtGroup16_cat2	Ac	695
pbtGroup17_cat1	Ac	366
pbtGroup17_cat2	Ac	850
pbtGroup18_cat1	Ac	550
pbtGroup18_cat2	Ac	1198
pbtGroup19_cat1	Ac	447
pbtGroup19_cat2	Ac	1010
pbtGroup2_cat1	Ac	135
pbtGroup2_cat2	Ac	349
pbtGroup20_cat1	Ac	501
pbtGroup20_cat2	Ac	1168
pbtGroup21_cat1	Ac	570
pbtGroup21_cat2	Ac	1231
pbtGroup22_cat1	Ac	597
pbtGroup22_cat2	Ac	1362
pbtGroup23_cat1	Ac	584
pbtGroup23_cat2	Ac	1472
pbtGroup24_cat1	Ac	674
pbtGroup24_cat2	Ac	1668
pbtGroup25_cat1	Ac	1505
pbtGroup25_cat2	Ac	3272
pbtGroup3_cat1	Ac	114
pbtGroup3_cat2	Ac	268
pbtGroup4_cat1	Ac	146
pbtGroup4_cat2	Ac	338
pbtGroup5_cat1	Ac	151
pbtGroup5_cat2	Ac	356
pbtGroup6_cat1	Ac	136
pbtGroup6_cat2	Ac	318
pbtGroup7_cat1	Ac	151
pbtGroup7_cat2	Ac	327
pbtGroup8_cat1	Ac	144
pbtGroup8_cat2	Ac	333
pbtGroup9_cat1	Ac	164
pbtGroup9_cat2	Ac	397
GSIgroup1_cat1	MLE	980
GSIgroup1_cat2	MLE	434
GSIgroup10_cat1	MLE	10317
GSIgroup10_cat2	MLE	5621
GSIgroup2_cat1	MLE	957
GSIgroup2_cat2	MLE	412
GSIgroup3_cat1	MLE	1620
GSIgroup3_cat2	MLE	772
GSIgroup4_cat1	MLE	1904
GSIgroup4_cat2	MLE	828
GSIgroup5_cat1	MLE	2090
GSIgroup5_cat2	MLE	923
GSIgroup6_cat1	MLE	2527
GSIgroup6_cat2	MLE	1229
GSIgroup7_cat1	MLE	2243
GSIgroup7_cat2	MLE	1038
GSIgroup8_cat1	MLE	5673
GSIgroup8_cat2	MLE	3110
GSIgroup9_cat1	MLE	10081
GSIgroup9_cat2	MLE	5726
pbtGroup1_cat2	MLE	264
pbtGroup10_cat1	MLE	158
pbtGroup10_cat2	MLE	359
pbtGroup11_cat1	MLE	343
pbtGroup11_cat2	MLE	836
pbtGroup12_cat1	MLE	188
pbtGroup12_cat2	MLE	446
pbtGroup13_cat1	MLE	190
pbtGroup13_cat2	MLE	421
pbtGroup14_cat1	MLE	242
pbtGroup14_cat2	MLE	533
pbtGroup15_cat1	MLE	337
pbtGroup15_cat2	MLE	777
pbtGroup16_cat1	MLE	303
pbtGroup16_cat2	MLE	695
pbtGroup17_cat1	MLE	366
pbtGroup17_cat2	MLE	850
pbtGroup18_cat1	MLE	548
pbtGroup18_cat2	MLE	1197
pbtGroup19_cat1	MLE	447
pbtGroup19_cat2	MLE	1010
pbtGroup2_cat1	MLE	141
pbtGroup2_cat2	MLE	352
pbtGroup20_cat1	MLE	501
pbtGroup20_cat2	MLE	1169
pbtGroup21_cat1	MLE	570
pbtGroup21_cat2	MLE	1230
pbtGroup22_cat1	MLE	597
pbtGroup22_cat2	MLE	1360
pbtGroup23_cat1	MLE	581
pbtGroup23_cat2	MLE	1467
pbtGroup24_cat1	MLE	671
pbtGroup24_cat2	MLE	1661
pbtGroup25_cat1	MLE	1500
pbtGroup25_cat2	MLE	3262
pbtGroup3_cat1	MLE	116
pbtGroup3_cat2	MLE	268
pbtGroup4_cat1	MLE	148
pbtGroup4_cat2	MLE	338
pbtGroup5_cat1	MLE	151
pbtGroup5_cat2	MLE	356
pbtGroup6_cat1	MLE	137
pbtGroup6_cat2	MLE	318
pbtGroup7_cat1	MLE	151
pbtGroup7_cat2	MLE	326
pbtGroup8_cat1	MLE	148
pbtGroup8_cat2	MLE	332
pbtGroup9_cat1	MLE	166
pbtGroup9_cat2	MLE	397
