group	type	MSE
GSIgroup2_cat1	Ac	538
GSIgroup2_cat2	Ac	791
GSIgroup3_cat1	Ac	1009
GSIgroup3_cat2	Ac	1473
GSIgroup4_cat1	Ac	943
GSIgroup4_cat2	Ac	1538
GSIgroup5_cat1	Ac	1231
GSIgroup5_cat2	Ac	1812
GSIgroup6_cat1	Ac	1549
GSIgroup6_cat2	Ac	2308
GSIgroup7_cat1	Ac	1318
GSIgroup7_cat2	Ac	1894
GSIgroup8_cat1	Ac	3675
GSIgroup8_cat2	Ac	5078
GSIgroup9_cat1	Ac	6921
GSIgroup9_cat2	Ac	9515
pbtGroup1_cat2	Ac	219
pbtGroup10_cat1	Ac	195
pbtGroup10_cat2	Ac	329
pbtGroup11_cat1	Ac	465
pbtGroup11_cat2	Ac	743
pbtGroup12_cat1	Ac	275
pbtGroup12_cat2	Ac	347
pbtGroup13_cat1	Ac	246
pbtGroup13_cat2	Ac	364
pbtGroup14_cat1	Ac	315
pbtGroup14_cat2	Ac	487
pbtGroup15_cat1	Ac	428
pbtGroup15_cat2	Ac	624
pbtGroup16_cat1	Ac	458
pbtGroup16_cat2	Ac	608
pbtGroup17_cat1	Ac	491
pbtGroup17_cat2	Ac	741
pbtGroup18_cat1	Ac	681
pbtGroup18_cat2	Ac	1076
pbtGroup19_cat1	Ac	564
pbtGroup19_cat2	Ac	871
pbtGroup2_cat1	Ac	191
pbtGroup2_cat2	Ac	299
pbtGroup20_cat1	Ac	677
pbtGroup20_cat2	Ac	960
pbtGroup21_cat1	Ac	719
pbtGroup21_cat2	Ac	1117
pbtGroup22_cat1	Ac	820
pbtGroup22_cat2	Ac	1134
pbtGroup23_cat1	Ac	815
pbtGroup23_cat2	Ac	1330
pbtGroup24_cat1	Ac	883
pbtGroup24_cat2	Ac	1267
pbtGroup25_cat1	Ac	1822
pbtGroup25_cat2	Ac	3037
pbtGroup3_cat1	Ac	147
pbtGroup3_cat2	Ac	253
pbtGroup4_cat1	Ac	200
pbtGroup4_cat2	Ac	301
pbtGroup5_cat1	Ac	215
pbtGroup5_cat2	Ac	312
pbtGroup6_cat1	Ac	184
pbtGroup6_cat2	Ac	280
pbtGroup7_cat1	Ac	214
pbtGroup7_cat2	Ac	309
pbtGroup8_cat1	Ac	216
pbtGroup8_cat2	Ac	324
pbtGroup9_cat1	Ac	232
pbtGroup9_cat2	Ac	331
GSIgroup1_cat1	MLE	574
GSIgroup1_cat2	MLE	812
GSIgroup10_cat1	MLE	6592
GSIgroup10_cat2	MLE	9467
GSIgroup2_cat1	MLE	538
GSIgroup2_cat2	MLE	791
GSIgroup3_cat1	MLE	1009
GSIgroup3_cat2	MLE	1474
GSIgroup4_cat1	MLE	942
GSIgroup4_cat2	MLE	1535
GSIgroup5_cat1	MLE	1231
GSIgroup5_cat2	MLE	1809
GSIgroup6_cat1	MLE	1547
GSIgroup6_cat2	MLE	2300
GSIgroup7_cat1	MLE	1318
GSIgroup7_cat2	MLE	1894
GSIgroup8_cat1	MLE	3674
GSIgroup8_cat2	MLE	5077
GSIgroup9_cat1	MLE	6934
GSIgroup9_cat2	MLE	9500
pbtGroup1_cat2	MLE	219
pbtGroup10_cat1	MLE	195
