sr	group	type	MSE
0.2	pbtGroup19	NoEx	1594
0.2	pbtGroup2	NoEx	637
0.2	pbtGroup20	NoEx	2047
0.2	pbtGroup21	NoEx	1901
0.2	pbtGroup22	NoEx	4634
0.2	pbtGroup23	NoEx	1963
0.2	pbtGroup24	NoEx	4684
0.2	pbtGroup25	NoEx	7050
0.2	pbtGroup3	NoEx	402
0.2	pbtGroup4	NoEx	493
0.2	pbtGroup5	NoEx	504
0.2	pbtGroup6	NoEx	449
0.2	pbtGroup7	NoEx	470
0.2	pbtGroup8	NoEx	447
0.2	pbtGroup9	NoEx	581
0.25	GSIgroup1	NoEx	1151
0.25	GSIgroup10	NoEx	20877
0.25	GSIgroup2	NoEx	1056
0.25	GSIgroup3	NoEx	2067
0.25	GSIgroup4	NoEx	1979
0.25	GSIgroup5	NoEx	2117
0.25	GSIgroup6	NoEx	3825
0.25	GSIgroup7	NoEx	2404
0.25	GSIgroup8	NoEx	9617
0.25	GSIgroup9	NoEx	43414
0.25	pbtGroup1	NoEx	272
0.25	pbtGroup10	NoEx	412
0.25	pbtGroup11	NoEx	3896
0.25	pbtGroup12	NoEx	489
0.25	pbtGroup13	NoEx	572
0.25	pbtGroup14	NoEx	644
0.25	pbtGroup15	NoEx	1190
0.25	pbtGroup16	NoEx	807
0.25	pbtGroup17	NoEx	962
0.25	pbtGroup18	NoEx	1592
0.25	pbtGroup19	NoEx	1234
0.25	pbtGroup2	NoEx	535
0.25	pbtGroup20	NoEx	1681
0.25	pbtGroup21	NoEx	1408
0.25	pbtGroup22	NoEx	4239
0.25	pbtGroup23	NoEx	1687
0.25	pbtGroup24	NoEx	4242
0.25	pbtGroup25	NoEx	6710
0.25	pbtGroup3	NoEx	303
0.25	pbtGroup4	NoEx	404
0.25	pbtGroup5	NoEx	394
0.25	pbtGroup6	NoEx	333
0.25	pbtGroup7	NoEx	404
0.25	pbtGroup8	NoEx	394
0.25	pbtGroup9	NoEx	426
0.3	GSIgroup1	NoEx	984
0.3	GSIgroup10	NoEx	17132
0.3	GSIgroup2	NoEx	860
0.3	GSIgroup3	NoEx	1684
0.3	GSIgroup4	NoEx	1976
0.3	GSIgroup5	NoEx	1751
0.3	GSIgroup6	NoEx	3506
0.3	GSIgroup7	NoEx	2058
0.3	GSIgroup8	NoEx	9317
0.3	GSIgroup9	NoEx	38289
0.3	pbtGroup1	NoEx	250
0.3	pbtGroup10	NoEx	335
0.3	pbtGroup11	NoEx	3934
0.3	pbtGroup12	NoEx	364
0.3	pbtGroup13	NoEx	479
0.3	pbtGroup14	NoEx	531
0.3	pbtGroup15	NoEx	1166
0.3	pbtGroup16	NoEx	683
0.3	pbtGroup17	NoEx	756
