sr	group	type	MSE
0.1	GSIgroup6	Ac	7101
0.1	GSIgroup7	Ac	7053
0.1	GSIgroup8	Ac	11603
0.1	GSIgroup9	Ac	27191
0.1	pbtGroup1	Ac	708
0.1	pbtGroup10	Ac	972
0.1	pbtGroup11	Ac	2453
0.1	pbtGroup12	Ac	1249
0.1	pbtGroup13	Ac	1309
0.1	pbtGroup14	Ac	1815
0.1	pbtGroup15	Ac	2019
0.1	pbtGroup16	Ac	2120
0.1	pbtGroup17	Ac	2349
0.1	pbtGroup18	Ac	3598
0.1	pbtGroup19	Ac	3037
0.1	pbtGroup2	Ac	860
0.1	pbtGroup20	Ac	3243
0.1	pbtGroup21	Ac	3439
0.1	pbtGroup22	Ac	3972
0.1	pbtGroup23	Ac	4017
0.1	pbtGroup24	Ac	5040
0.1	pbtGroup25	Ac	8680
0.1	pbtGroup3	Ac	865
0.1	pbtGroup4	Ac	970
0.1	pbtGroup5	Ac	1023
0.1	pbtGroup6	Ac	1035
0.1	pbtGroup7	Ac	1060
0.1	pbtGroup8	Ac	1004
0.1	pbtGroup9	Ac	1174
0.15	GSIgroup1	Ac	1786
0.15	GSIgroup10	Ac	19032
0.15	GSIgroup2	Ac	1891
0.15	GSIgroup3	Ac	2989
0.15	GSIgroup4	Ac	3454
0.15	GSIgroup5	Ac	3896
0.15	GSIgroup6	Ac	4439
0.15	GSIgroup7	Ac	4172
0.15	GSIgroup8	Ac	7280
0.15	GSIgroup9	Ac	18836
0.15	pbtGroup1	Ac	549
0.15	pbtGroup10	Ac	743
0.15	pbtGroup11	Ac	1599
0.15	pbtGroup12	Ac	825
0.15	pbtGroup13	Ac	831
0.15	pbtGroup14	Ac	1090
0.15	pbtGroup15	Ac	1322
0.15	pbtGroup16	Ac	1258
0.15	pbtGroup17	Ac	1724
0.15	pbtGroup18	Ac	2172
0.15	pbtGroup19	Ac	1929
0.15	pbtGroup2	Ac	642
0.15	pbtGroup20	Ac	2097
0.15	pbtGroup21	Ac	2408
0.15	pbtGroup22	Ac	3066
0.15	pbtGroup23	Ac	2978
0.15	pbtGroup24	Ac	2889
0.15	pbtGroup25	Ac	6421
0.15	pbtGroup3	Ac	548
0.15	pbtGroup4	Ac	622
0.15	pbtGroup5	Ac	760
0.15	pbtGroup6	Ac	590
0.15	pbtGroup7	Ac	718
0.15	pbtGroup8	Ac	662
0.15	pbtGroup9	Ac	781
0.2	GSIgroup1	Ac	1397
0.2	GSIgroup10	Ac	15227
0.2	GSIgroup2	Ac	1262
0.2	GSIgroup3	Ac	2452
0.2	GSIgroup4	Ac	2203
0.2	GSIgroup5	Ac	3090
0.2	GSIgroup6	Ac	3328
0.2	GSIgroup7	Ac	3752
0.2	GSIgroup8	Ac	6450
0.2	GSIgroup9	Ac	13741
0.2	pbtGroup1	Ac	371
0.2	pbtGroup10	Ac	562
0.2	pbtGroup11	Ac	1156
0.2	pbtGroup12	Ac	668
0.2	pbtGroup13	Ac	598
0.2	pbtGroup14	Ac	865
0.2	pbtGroup15	Ac	1039
0.2	pbtGroup16	Ac	939
0.2	pbtGroup17	Ac	1259
0.2	pbtGroup18	Ac	1736
0.2	pbtGroup19	Ac	1379
0.2	pbtGroup2	Ac	512
0.2	pbtGroup20	Ac	1659
0.2	pbtGroup21	Ac	1942
0.2	pbtGroup22	Ac	1901
0.2	pbtGroup23	Ac	1963
0.2	pbtGroup24	Ac	2278
0.2	pbtGroup25	Ac	4239
0.2	pbtGroup3	Ac	402
0.2	pbtGroup4	Ac	522
0.2	pbtGroup5	Ac	511
0.2	pbtGroup6	Ac	499
0.2	pbtGroup7	Ac	492
0.2	pbtGroup8	Ac	453
0.2	pbtGroup9	Ac	593
0.25	GSIgroup1	Ac	1158
0.25	GSIgroup10	Ac	12535
0.25	GSIgroup2	Ac	1055
0.25	GSIgroup3	Ac	2059
0.25	GSIgroup4	Ac	1963
0.25	GSIgroup5	Ac	2060
0.25	GSIgroup6	Ac	2529
0.25	GSIgroup7	Ac	2407
0.25	GSIgroup8	Ac	5049
0.25	GSIgroup9	Ac	12065
0.25	pbtGroup1	Ac	270
0.25	pbtGroup10	Ac	424
0.25	pbtGroup11	Ac	1074
0.25	pbtGroup12	Ac	510
0.25	pbtGroup13	Ac	520
0.25	pbtGroup14	Ac	666
0.25	pbtGroup15	Ac	834
0.25	pbtGroup16	Ac	816
0.25	pbtGroup17	Ac	969
0.25	pbtGroup18	Ac	1432
0.25	pbtGroup19	Ac	1091
0.25	pbtGroup2	Ac	372
0.25	pbtGroup20	Ac	1197
0.25	pbtGroup21	Ac	1428
0.25	pbtGroup22	Ac	1673
0.25	pbtGroup23	Ac	1584
0.25	pbtGroup24	Ac	1769
0.25	pbtGroup25	Ac	3647
0.25	pbtGroup3	Ac	303
0.25	pbtGroup4	Ac	427
0.25	pbtGroup5	Ac	403
0.25	pbtGroup6	Ac	338
0.25	pbtGroup7	Ac	426
0.25	pbtGroup8	Ac	402
0.25	pbtGroup9	Ac	439
0.3	GSIgroup1	Ac	986
0.3	GSIgroup10	Ac	9288
0.3	GSIgroup2	Ac	858
0.3	GSIgroup3	Ac	1687
0.3	GSIgroup4	Ac	1946
0.3	GSIgroup5	Ac	1693
0.3	GSIgroup6	Ac	2130
0.3	GSIgroup7	Ac	2039
0.3	GSIgroup8	Ac	4571
0.3	GSIgroup9	Ac	8785
0.3	pbtGroup1	Ac	251
0.3	pbtGroup10	Ac	343
0.3	pbtGroup11	Ac	879
0.3	pbtGroup12	Ac	372
0.3	pbtGroup13	Ac	406
0.3	pbtGroup14	Ac	543
0.3	pbtGroup15	Ac	661
0.3	pbtGroup16	Ac	690
0.3	pbtGroup17	Ac	776
0.3	pbtGroup18	Ac	1144
0.3	pbtGroup19	Ac	875
0.3	pbtGroup2	Ac	361
0.3	pbtGroup20	Ac	1150
0.3	pbtGroup21	Ac	1075
0.3	pbtGroup22	Ac	1272
0.3	pbtGroup23	Ac	1341
0.3	pbtGroup24	Ac	1601
0.3	pbtGroup25	Ac	3137
0.3	pbtGroup3	Ac	280
0.3	pbtGroup4	Ac	338
0.3	pbtGroup5	Ac	358
0.3	pbtGroup6	Ac	330
0.3	pbtGroup7	Ac	318
0.3	pbtGroup8	Ac	343
0.3	pbtGroup9	Ac	351
0.35	GSIgroup1	Ac	857
0.35	GSIgroup10	Ac	8604
0.35	GSIgroup2	Ac	742
0.35	GSIgroup3	Ac	1378
0.35	GSIgroup4	Ac	1414
0.35	GSIgroup5	Ac	1677
0.35	GSIgroup6	Ac	1965
0.35	GSIgroup7	Ac	1806
0.35	GSIgroup8	Ac	3670
0.35	GSIgroup9	Ac	7452
0.35	pbtGroup1	Ac	201
0.35	pbtGroup10	Ac	301
0.35	pbtGroup11	Ac	611
0.35	pbtGroup12	Ac	391
0.35	pbtGroup13	Ac	368
0.35	pbtGroup14	Ac	529
0.35	pbtGroup15	Ac	621
0.35	pbtGroup16	Ac	608
0.35	pbtGroup17	Ac	732
0.35	pbtGroup18	Ac	973
0.35	pbtGroup19	Ac	825
0.35	pbtGroup2	Ac	284
0.35	pbtGroup20	Ac	987
0.35	pbtGroup21	Ac	893
0.35	pbtGroup22	Ac	1158
0.35	pbtGroup23	Ac	1087
0.35	pbtGroup24	Ac	1311
0.35	pbtGroup25	Ac	2633
0.35	pbtGroup3	Ac	249
0.35	pbtGroup4	Ac	256
0.35	pbtGroup5	Ac	280
0.35	pbtGroup6	Ac	258
0.35	pbtGroup7	Ac	330
0.35	pbtGroup8	Ac	286
0.35	pbtGroup9	Ac	321
0.4	GSIgroup1	Ac	693
0.4	GSIgroup10	Ac	7203
0.4	GSIgroup2	Ac	653
0.4	GSIgroup3	Ac	1193
0.4	GSIgroup4	Ac	1268
0.4	GSIgroup5	Ac	1526
0.4	GSIgroup6	Ac	1559
0.4	GSIgroup7	Ac	1819
0.4	GSIgroup8	Ac	2992
0.4	GSIgroup9	Ac	7438
0.4	pbtGroup1	Ac	181
0.4	pbtGroup10	Ac	274
0.4	pbtGroup11	Ac	596
0.4	pbtGroup12	Ac	306
0.4	pbtGroup13	Ac	335
0.4	pbtGroup14	Ac	423
0.4	pbtGroup15	Ac	539
0.4	pbtGroup16	Ac	514
0.4	pbtGroup17	Ac	635
0.4	pbtGroup18	Ac	829
0.4	pbtGroup19	Ac	675
0.4	pbtGroup2	Ac	227
0.4	pbtGroup20	Ac	817
0.4	pbtGroup21	Ac	760
0.4	pbtGroup22	Ac	1095
0.4	pbtGroup23	Ac	969
0.4	pbtGroup24	Ac	1096
0.4	pbtGroup25	Ac	2278
0.4	pbtGroup3	Ac	191
0.4	pbtGroup4	Ac	245
0.4	pbtGroup5	Ac	285
0.4	pbtGroup6	Ac	234
0.4	pbtGroup7	Ac	252
0.4	pbtGroup8	Ac	254
0.4	pbtGroup9	Ac	259
0.05	GSIgroup1	MLE	5431
0.05	GSIgroup10	MLE	55043
0.05	GSIgroup2	MLE	5954
0.05	GSIgroup3	MLE	9326
0.05	GSIgroup4	MLE	11164
0.05	GSIgroup5	MLE	10578
0.05	GSIgroup6	MLE	14638
0.05	GSIgroup7	MLE	14397
0.05	GSIgroup8	MLE	24887
0.05	GSIgroup9	MLE	55831
0.05	pbtGroup1	MLE	1506
0.05	pbtGroup10	MLE	2215
0.05	pbtGroup11	MLE	4913
0.05	pbtGroup12	MLE	2656
0.05	pbtGroup13	MLE	2596
0.05	pbtGroup14	MLE	3292
0.05	pbtGroup15	MLE	4258
0.05	pbtGroup16	MLE	3949
0.05	pbtGroup17	MLE	5194
0.05	pbtGroup18	MLE	7198
0.05	pbtGroup19	MLE	5670
0.05	pbtGroup2	MLE	2151
0.05	pbtGroup20	MLE	7540
0.05	pbtGroup21	MLE	6489
0.05	pbtGroup22	MLE	8337
0.05	pbtGroup23	MLE	7981
0.05	pbtGroup24	MLE	8849
0.05	pbtGroup25	MLE	19588
0.05	pbtGroup3	MLE	1665
0.05	pbtGroup4	MLE	2055
0.05	pbtGroup5	MLE	2171
0.05	pbtGroup6	MLE	1856
0.05	pbtGroup7	MLE	2024
0.05	pbtGroup8	MLE	1876
0.05	pbtGroup9	MLE	2316
0.075	GSIgroup1	MLE	3809
0.075	GSIgroup10	MLE	37826
0.075	GSIgroup2	MLE	3591
0.075	GSIgroup3	MLE	6259
0.075	GSIgroup4	MLE	6910
0.075	GSIgroup5	MLE	7963
0.075	GSIgroup6	MLE	9436
0.075	GSIgroup7	MLE	9924
0.075	GSIgroup8	MLE	15146
0.075	GSIgroup9	MLE	38506
0.075	pbtGroup1	MLE	893
0.075	pbtGroup10	MLE	1545
0.075	pbtGroup11	MLE	3482
0.075	pbtGroup12	MLE	1575
0.075	pbtGroup13	MLE	1652
0.075	pbtGroup14	MLE	2112
0.075	pbtGroup15	MLE	2580
0.075	pbtGroup16	MLE	2971
0.075	pbtGroup17	MLE	3320
0.075	pbtGroup18	MLE	4492
0.075	pbtGroup19	MLE	3526
0.075	pbtGroup2	MLE	1092
0.075	pbtGroup20	MLE	4683
0.075	pbtGroup21	MLE	4179
0.075	pbtGroup22	MLE	5142
0.075	pbtGroup23	MLE	5690
0.075	pbtGroup24	MLE	5755
0.075	pbtGroup25	MLE	13285
0.075	pbtGroup3	MLE	1103
0.075	pbtGroup4	MLE	1394
0.075	pbtGroup5	MLE	1408
0.075	pbtGroup6	MLE	1286
0.075	pbtGroup7	MLE	1350
0.075	pbtGroup8	MLE	1243
0.075	pbtGroup9	MLE	1525
0.1	GSIgroup1	MLE	2882
0.1	GSIgroup10	MLE	28476
0.1	GSIgroup2	MLE	2842
0.1	GSIgroup3	MLE	4608
0.1	GSIgroup4	MLE	4717
0.1	GSIgroup5	MLE	5784
0.1	GSIgroup6	MLE	7101
0.1	GSIgroup7	MLE	7054
0.1	GSIgroup8	MLE	11603
0.1	GSIgroup9	MLE	27186
0.1	pbtGroup1	MLE	708
0.1	pbtGroup10	MLE	972
0.1	pbtGroup11	MLE	2453
0.1	pbtGroup12	MLE	1249
0.1	pbtGroup13	MLE	1309
0.1	pbtGroup14	MLE	1815
0.1	pbtGroup15	MLE	2020
0.1	pbtGroup16	MLE	2120
0.1	pbtGroup17	MLE	2349
0.1	pbtGroup18	MLE	3588
0.1	pbtGroup19	MLE	3037
0.1	pbtGroup2	MLE	860
0.1	pbtGroup20	MLE	3243
0.1	pbtGroup21	MLE	3436
0.1	pbtGroup22	MLE	3974
0.1	pbtGroup23	MLE	3995
0.1	pbtGroup24	MLE	4999
0.1	pbtGroup25	MLE	8680
0.1	pbtGroup3	MLE	865
0.1	pbtGroup4	MLE	970
0.1	pbtGroup5	MLE	1023
0.1	pbtGroup6	MLE	1035
0.1	pbtGroup7	MLE	1059
0.1	pbtGroup8	MLE	1002
0.1	pbtGroup9	MLE	1174
0.15	GSIgroup1	MLE	1785
0.15	GSIgroup10	MLE	19049
0.15	GSIgroup2	MLE	1892
0.15	GSIgroup3	MLE	2990
0.15	GSIgroup4	MLE	3454
0.15	GSIgroup5	MLE	3901
0.15	GSIgroup6	MLE	4433
0.15	GSIgroup7	MLE	4172
0.15	GSIgroup8	MLE	7280
0.15	GSIgroup9	MLE	18840
0.15	pbtGroup1	MLE	549
0.15	pbtGroup10	MLE	743
0.15	pbtGroup11	MLE	1599
0.15	pbtGroup12	MLE	825
0.15	pbtGroup13	MLE	831
0.15	pbtGroup14	MLE	1090
0.15	pbtGroup15	MLE	1322
0.15	pbtGroup16	MLE	1258
0.15	pbtGroup17	MLE	1724
0.15	pbtGroup18	MLE	2164
0.15	pbtGroup19	MLE	1929
0.15	pbtGroup2	MLE	642
0.15	pbtGroup20	MLE	2097
0.15	pbtGroup21	MLE	2406
0.15	pbtGroup22	MLE	3065
0.15	pbtGroup23	MLE	2966
0.15	pbtGroup24	MLE	2869
0.15	pbtGroup25	MLE	6417
0.15	pbtGroup3	MLE	548
0.15	pbtGroup4	MLE	622
0.15	pbtGroup5	MLE	760
0.15	pbtGroup6	MLE	590
0.15	pbtGroup7	MLE	718
0.15	pbtGroup8	MLE	661
0.15	pbtGroup9	MLE	781
0.2	GSIgroup1	MLE	1398
0.2	GSIgroup10	MLE	15249
0.2	GSIgroup2	MLE	1263
0.2	GSIgroup3	MLE	2454
0.2	GSIgroup4	MLE	2202
0.2	GSIgroup5	MLE	3088
0.2	GSIgroup6	MLE	3328
0.2	GSIgroup7	MLE	3752
0.2	GSIgroup8	MLE	6451
0.2	GSIgroup9	MLE	13740
0.2	pbtGroup1	MLE	371
0.2	pbtGroup10	MLE	562
0.2	pbtGroup11	MLE	1157
0.2	pbtGroup12	MLE	668
0.2	pbtGroup13	MLE	598
0.2	pbtGroup14	MLE	865
0.2	pbtGroup15	MLE	1039
0.2	pbtGroup16	MLE	939
0.2	pbtGroup17	MLE	1259
0.2	pbtGroup18	MLE	1732
0.2	pbtGroup19	MLE	1379
0.2	pbtGroup2	MLE	512
0.2	pbtGroup20	MLE	1659
0.2	pbtGroup21	MLE	1940
0.2	pbtGroup22	MLE	1899
0.2	pbtGroup23	MLE	1956
0.2	pbtGroup24	MLE	2272
0.2	pbtGroup25	MLE	4240
0.2	pbtGroup3	MLE	402
0.2	pbtGroup4	MLE	522
0.2	pbtGroup5	MLE	511
0.2	pbtGroup6	MLE	499
0.2	pbtGroup7	MLE	492
0.2	pbtGroup8	MLE	452
0.2	pbtGroup9	MLE	593
0.25	GSIgroup1	MLE	1158
0.25	GSIgroup10	MLE	12534
0.25	GSIgroup2	MLE	1055
0.25	GSIgroup3	MLE	2059
0.25	GSIgroup4	MLE	1964
0.25	GSIgroup5	MLE	2058
0.25	GSIgroup6	MLE	2528
0.25	GSIgroup7	MLE	2407
0.25	GSIgroup8	MLE	5049
0.25	GSIgroup9	MLE	12057
0.25	pbtGroup1	MLE	270
0.25	pbtGroup10	MLE	424
0.25	pbtGroup11	MLE	1075
0.25	pbtGroup12	MLE	510
0.25	pbtGroup13	MLE	520
0.25	pbtGroup14	MLE	666
0.25	pbtGroup15	MLE	834
0.25	pbtGroup16	MLE	816
0.25	pbtGroup17	MLE	969
0.25	pbtGroup18	MLE	1430
0.25	pbtGroup19	MLE	1091
0.25	pbtGroup2	MLE	372
0.25	pbtGroup20	MLE	1197
0.25	pbtGroup21	MLE	1428
0.25	pbtGroup22	MLE	1670
0.25	pbtGroup23	MLE	1582
0.25	pbtGroup24	MLE	1763
0.25	pbtGroup25	MLE	3653
0.25	pbtGroup3	MLE	303
0.25	pbtGroup4	MLE	427
0.25	pbtGroup5	MLE	403
0.25	pbtGroup6	MLE	338
0.25	pbtGroup7	MLE	426
0.25	pbtGroup8	MLE	401
0.25	pbtGroup9	MLE	439
0.3	GSIgroup1	MLE	986
0.3	GSIgroup10	MLE	9270
0.3	GSIgroup2	MLE	860
0.3	GSIgroup3	MLE	1688
0.3	GSIgroup4	MLE	1947
0.3	GSIgroup5	MLE	1695
0.3	GSIgroup6	MLE	2127
0.3	GSIgroup7	MLE	2039
0.3	GSIgroup8	MLE	4571
0.3	GSIgroup9	MLE	8781
0.3	pbtGroup1	MLE	251
0.3	pbtGroup10	MLE	343
0.3	pbtGroup11	MLE	879
0.3	pbtGroup12	MLE	372
0.3	pbtGroup13	MLE	406
0.3	pbtGroup14	MLE	543
0.3	pbtGroup15	MLE	661
0.3	pbtGroup16	MLE	690
0.3	pbtGroup17	MLE	776
0.3	pbtGroup18	MLE	1141
0.3	pbtGroup19	MLE	875
0.3	pbtGroup2	MLE	361
0.3	pbtGroup20	MLE	1150
0.3	pbtGroup21	MLE	1074
0.3	pbtGroup22	MLE	1270
0.3	pbtGroup23	MLE	1338
0.3	pbtGroup24	MLE	1598
0.3	pbtGroup25	MLE	3124
0.3	pbtGroup3	MLE	280
0.3	pbtGroup4	MLE	338
0.3	pbtGroup5	MLE	358
0.3	pbtGroup6	MLE	330
0.3	pbtGroup7	MLE	318
0.3	pbtGroup8	MLE	342
0.3	pbtGroup9	MLE	351
0.35	GSIgroup1	MLE	856
0.35	GSIgroup10	MLE	8611
0.35	GSIgroup2	MLE	743
0.35	GSIgroup3	MLE	1380
0.35	GSIgroup4	MLE	1414
0.35	GSIgroup5	MLE	1678
0.35	GSIgroup6	MLE	1967
0.35	GSIgroup7	MLE	1806
0.35	GSIgroup8	MLE	3671
0.35	GSIgroup9	MLE	7444
0.35	pbtGroup1	MLE	201
0.35	pbtGroup10	MLE	301
0.35	pbtGroup11	MLE	612
0.35	pbtGroup12	MLE	391
0.35	pbtGroup13	MLE	368
0.35	pbtGroup14	MLE	529
0.35	pbtGroup15	MLE	621
0.35	pbtGroup16	MLE	608
0.35	pbtGroup17	MLE	732
0.35	pbtGroup18	MLE	973
0.35	pbtGroup19	MLE	825
0.35	pbtGroup2	MLE	284
0.35	pbtGroup20	MLE	987
0.35	pbtGroup21	MLE	893
0.35	pbtGroup22	MLE	1158
0.35	pbtGroup23	MLE	1085
0.35	pbtGroup24	MLE	1306
0.35	pbtGroup25	MLE	2635
0.35	pbtGroup3	MLE	249
0.35	pbtGroup4	MLE	256
0.35	pbtGroup5	MLE	280
0.35	pbtGroup6	MLE	258
0.35	pbtGroup7	MLE	330
0.35	pbtGroup8	MLE	285
0.35	pbtGroup9	MLE	321
0.4	GSIgroup1	MLE	693
0.4	GSIgroup10	MLE	7208
0.4	GSIgroup2	MLE	652
0.4	GSIgroup3	MLE	1194
0.4	GSIgroup4	MLE	1268
0.4	GSIgroup5	MLE	1526
0.4	GSIgroup6	MLE	1558
0.4	GSIgroup7	MLE	1819
0.4	GSIgroup8	MLE	2992
0.4	GSIgroup9	MLE	7429
0.4	pbtGroup1	MLE	181
0.4	pbtGroup10	MLE	274
0.4	pbtGroup11	MLE	597
0.4	pbtGroup12	MLE	306
0.4	pbtGroup13	MLE	335
0.4	pbtGroup14	MLE	423
0.4	pbtGroup15	MLE	539
0.4	pbtGroup16	MLE	514
0.4	pbtGroup17	MLE	635
0.4	pbtGroup18	MLE	827
0.4	pbtGroup19	MLE	675
0.4	pbtGroup2	MLE	227
0.4	pbtGroup20	MLE	817
0.4	pbtGroup21	MLE	760
0.4	pbtGroup22	MLE	1094
0.4	pbtGroup23	MLE	964
0.4	pbtGroup24	MLE	1091
0.4	pbtGroup25	MLE	2277
0.4	pbtGroup3	MLE	191
0.4	pbtGroup4	MLE	245
0.4	pbtGroup5	MLE	285
0.4	pbtGroup6	MLE	234
0.4	pbtGroup7	MLE	252
0.4	pbtGroup8	MLE	254
0.4	pbtGroup9	MLE	259
