group	MLE	Ac	NoEx
GSIgroup3_cat1	1620	1618	1618
GSIgroup3_cat2	772	773	775
GSIgroup9_cat1	10081	10089	12478
GSIgroup9_cat2	5726	5733	20318
pbtGroup11_cat1	343	339	454
pbtGroup11_cat2	836	836	2090
pbtGroup25_cat1	1500	1505	1620
pbtGroup25_cat2	3262	3272	4207
pbtGroup8_cat1	148	144	141
pbtGroup8_cat2	332	333	327
