sr	group	type	ER
0.1	pbtGroup17	Ac	0
0.1	pbtGroup18	Ac	2
0.1	pbtGroup19	Ac	0
0.1	pbtGroup2	Ac	0
0.1	pbtGroup20	Ac	1
0.1	pbtGroup21	Ac	-3
0.1	pbtGroup22	Ac	4
0.1	pbtGroup23	Ac	-6
0.1	pbtGroup24	Ac	-3
0.1	pbtGroup25	Ac	4
0.1	pbtGroup3	Ac	1
0.1	pbtGroup4	Ac	0
0.1	pbtGroup5	Ac	0
0.1	pbtGroup6	Ac	1
0.1	pbtGroup7	Ac	1
0.1	pbtGroup8	Ac	0
0.1	pbtGroup9	Ac	-1
0.15	GSIgroup1	Ac	2
0.15	GSIgroup10	Ac	-9
0.15	GSIgroup2	Ac	2
0.15	GSIgroup3	Ac	2
0.15	GSIgroup4	Ac	0
0.15	GSIgroup5	Ac	1
0.15	GSIgroup6	Ac	2
0.15	GSIgroup7	Ac	-1
0.15	GSIgroup8	Ac	4
0.15	GSIgroup9	Ac	20
0.15	pbtGroup1	Ac	-1
0.15	pbtGroup10	Ac	1
0.15	pbtGroup11	Ac	-3
0.15	pbtGroup12	Ac	2
0.15	pbtGroup13	Ac	-2
0.15	pbtGroup14	Ac	-2
0.15	pbtGroup15	Ac	2
0.15	pbtGroup16	Ac	1
0.15	pbtGroup17	Ac	2
0.15	pbtGroup18	Ac	0
0.15	pbtGroup19	Ac	-3
0.15	pbtGroup2	Ac	0
0.15	pbtGroup20	Ac	-1
0.15	pbtGroup21	Ac	-5
0.15	pbtGroup22	Ac	-5
0.15	pbtGroup23	Ac	-3
0.15	pbtGroup24	Ac	-1
0.15	pbtGroup25	Ac	0
0.15	pbtGroup3	Ac	-1
0.15	pbtGroup4	Ac	2
0.15	pbtGroup5	Ac	-1
0.15	pbtGroup6	Ac	-1
0.15	pbtGroup7	Ac	-2
0.15	pbtGroup8	Ac	1
0.15	pbtGroup9	Ac	-1
0.2	GSIgroup1	Ac	-1
0.2	GSIgroup10	Ac	-11
0.2	GSIgroup2	Ac	0
0.2	GSIgroup3	Ac	1
0.2	GSIgroup4	Ac	4
0.2	GSIgroup5	Ac	1
0.2	GSIgroup6	Ac	-2
0.2	GSIgroup7	Ac	0
0.2	GSIgroup8	Ac	1
0.2	GSIgroup9	Ac	5
0.2	pbtGroup1	Ac	1
0.2	pbtGroup10	Ac	-1
0.2	pbtGroup11	Ac	1
0.2	pbtGroup12	Ac	0
0.2	pbtGroup13	Ac	1
0.2	pbtGroup14	Ac	1
0.2	pbtGroup15	Ac	1
0.2	pbtGroup16	Ac	0
0.2	pbtGroup17	Ac	0
0.2	pbtGroup18	Ac	-2
0.2	pbtGroup19	Ac	0
0.2	pbtGroup2	Ac	0
0.2	pbtGroup20	Ac	0
0.2	pbtGroup21	Ac	-2
0.2	pbtGroup22	Ac	3
0.2	pbtGroup23	Ac	-1
0.2	pbtGroup24	Ac	1
0.2	pbtGroup25	Ac	1
0.2	pbtGroup3	Ac	1
0.2	pbtGroup4	Ac	-1
0.2	pbtGroup5	Ac	1
0.2	pbtGroup6	Ac	-2
0.2	pbtGroup7	Ac	0
0.2	pbtGroup8	Ac	1
0.2	pbtGroup9	Ac	-1
0.25	GSIgroup1	Ac	2
0.25	GSIgroup10	Ac	5
0.25	GSIgroup2	Ac	0
0.25	GSIgroup3	Ac	-1
0.25	GSIgroup4	Ac	-2
0.25	GSIgroup5	Ac	-1
0.25	GSIgroup6	Ac	5
0.25	GSIgroup7	Ac	2
0.25	GSIgroup8	Ac	0
0.25	GSIgroup9	Ac	-3
0.25	pbtGroup1	Ac	0
0.25	pbtGroup10	Ac	1
0.25	pbtGroup11	Ac	-1
0.25	pbtGroup12	Ac	-1
0.25	pbtGroup13	Ac	0
0.25	pbtGroup14	Ac	-1
0.25	pbtGroup15	Ac	-3
0.25	pbtGroup16	Ac	1
0.25	pbtGroup17	Ac	0
0.25	pbtGroup18	Ac	1
0.25	pbtGroup19	Ac	-3
0.25	pbtGroup2	Ac	-1
0.25	pbtGroup20	Ac	0
0.25	pbtGroup21	Ac	-1
0.25	pbtGroup22	Ac	1
0.25	pbtGroup23	Ac	2
0.25	pbtGroup24	Ac	0
0.25	pbtGroup25	Ac	2
0.25	pbtGroup3	Ac	-1
0.25	pbtGroup4	Ac	-1
0.25	pbtGroup5	Ac	-1
0.25	pbtGroup6	Ac	0
0.25	pbtGroup7	Ac	-1
0.25	pbtGroup8	Ac	-1
0.25	pbtGroup9	Ac	-2
0.3	GSIgroup1	Ac	1
0.3	GSIgroup10	Ac	8
0.3	GSIgroup2	Ac	-1
0.3	GSIgroup3	Ac	2
0.3	GSIgroup4	Ac	-5
0.3	GSIgroup5	Ac	0
0.3	GSIgroup6	Ac	4
0.3	GSIgroup7	Ac	-1
0.3	GSIgroup8	Ac	-1
0.3	GSIgroup9	Ac	2
0.3	pbtGroup1	Ac	0
0.3	pbtGroup10	Ac	0
0.3	pbtGroup11	Ac	1
0.3	pbtGroup12	Ac	0
0.3	pbtGroup13	Ac	0
0.3	pbtGroup14	Ac	0
0.3	pbtGroup15	Ac	-1
0.3	pbtGroup16	Ac	1
0.3	pbtGroup17	Ac	-2
0.3	pbtGroup18	Ac	-2
0.3	pbtGroup19	Ac	0
0.3	pbtGroup2	Ac	0
0.3	pbtGroup20	Ac	1
0.3	pbtGroup21	Ac	-1
0.3	pbtGroup22	Ac	-2
0.3	pbtGroup23	Ac	1
0.3	pbtGroup24	Ac	2
0.3	pbtGroup25	Ac	-5
0.3	pbtGroup3	Ac	0
0.3	pbtGroup4	Ac	0
0.3	pbtGroup5	Ac	-1
0.3	pbtGroup6	Ac	1
0.3	pbtGroup7	Ac	1
0.3	pbtGroup8	Ac	-1
0.3	pbtGroup9	Ac	0
0.35	GSIgroup1	Ac	3
0.35	GSIgroup10	Ac	0
0.35	GSIgroup2	Ac	-2
0.35	GSIgroup3	Ac	-2
0.35	GSIgroup4	Ac	0
0.35	GSIgroup5	Ac	1
0.35	GSIgroup6	Ac	-2
0.35	GSIgroup7	Ac	0
0.35	GSIgroup8	Ac	5
0.35	GSIgroup9	Ac	-4
0.35	pbtGroup1	Ac	0
0.35	pbtGroup10	Ac	-1
0.35	pbtGroup11	Ac	0
0.35	pbtGroup12	Ac	0
0.35	pbtGroup13	Ac	0
0.35	pbtGroup14	Ac	0
0.35	pbtGroup15	Ac	1
0.35	pbtGroup16	Ac	0
0.35	pbtGroup17	Ac	0
0.35	pbtGroup18	Ac	1
0.35	pbtGroup19	Ac	0
0.35	pbtGroup2	Ac	-1
0.35	pbtGroup20	Ac	-3
0.35	pbtGroup21	Ac	1
0.35	pbtGroup22	Ac	1
0.35	pbtGroup23	Ac	-2
0.35	pbtGroup24	Ac	1
0.35	pbtGroup25	Ac	3
0.35	pbtGroup3	Ac	-2
0.35	pbtGroup4	Ac	0
0.35	pbtGroup5	Ac	0
0.35	pbtGroup6	Ac	0
0.35	pbtGroup7	Ac	0
0.35	pbtGroup8	Ac	-1
0.35	pbtGroup9	Ac	1
0.4	GSIgroup1	Ac	-1
0.4	GSIgroup10	Ac	-3
0.4	GSIgroup2	Ac	2
0.4	GSIgroup3	Ac	-2
0.4	GSIgroup4	Ac	4
0.4	GSIgroup5	Ac	2
0.4	GSIgroup6	Ac	-1
0.4	GSIgroup7	Ac	3
0.4	GSIgroup8	Ac	-2
0.4	GSIgroup9	Ac	1
0.4	pbtGroup1	Ac	0
0.4	pbtGroup10	Ac	0
0.4	pbtGroup11	Ac	-2
0.4	pbtGroup12	Ac	0
0.4	pbtGroup13	Ac	0
0.4	pbtGroup14	Ac	0
0.4	pbtGroup15	Ac	0
0.4	pbtGroup16	Ac	0
0.4	pbtGroup17	Ac	-1
0.4	pbtGroup18	Ac	0
0.4	pbtGroup19	Ac	1
0.4	pbtGroup2	Ac	1
0.4	pbtGroup20	Ac	1
0.4	pbtGroup21	Ac	1
0.4	pbtGroup22	Ac	0
0.4	pbtGroup23	Ac	-2
0.4	pbtGroup24	Ac	0
0.4	pbtGroup25	Ac	1
0.4	pbtGroup3	Ac	0
0.4	pbtGroup4	Ac	-1
0.4	pbtGroup5	Ac	-1
0.4	pbtGroup6	Ac	1
0.4	pbtGroup7	Ac	0
0.4	pbtGroup8	Ac	0
0.4	pbtGroup9	Ac	0
0.05	GSIgroup1	MLE	3
0.05	GSIgroup10	MLE	-2
0.05	GSIgroup2	MLE	-4
0.05	GSIgroup3	MLE	-2
0.05	GSIgroup4	MLE	3
0.05	GSIgroup5	MLE	2
0.05	GSIgroup6	MLE	-6
0.05	GSIgroup7	MLE	-6
0.05	GSIgroup8	MLE	2
0.05	GSIgroup9	MLE	9
0.05	pbtGroup1	MLE	0
0.05	pbtGroup10	MLE	-3
0.05	pbtGroup11	MLE	2
0.05	pbtGroup12	MLE	-1
0.05	pbtGroup13	MLE	0
0.05	pbtGroup14	MLE	3
0.05	pbtGroup15	MLE	3
0.05	pbtGroup16	MLE	-1
0.05	pbtGroup17	MLE	-1
0.05	pbtGroup18	MLE	-1
0.05	pbtGroup19	MLE	-1
0.05	pbtGroup2	MLE	-1
0.05	pbtGroup20	MLE	-2
0.05	pbtGroup21	MLE	1
0.05	pbtGroup22	MLE	-3
0.05	pbtGroup23	MLE	1
0.05	pbtGroup24	MLE	-4
0.05	pbtGroup25	MLE	4
0.05	pbtGroup3	MLE	-1
0.05	pbtGroup4	MLE	0
0.05	pbtGroup5	MLE	0
0.05	pbtGroup6	MLE	4
0.05	pbtGroup7	MLE	1
0.05	pbtGroup8	MLE	2
0.05	pbtGroup9	MLE	0
0.075	GSIgroup1	MLE	-4
0.075	GSIgroup10	MLE	5
0.075	GSIgroup2	MLE	1
0.075	GSIgroup3	MLE	2
0.075	GSIgroup4	MLE	0
0.075	GSIgroup5	MLE	-1
0.075	GSIgroup6	MLE	4
0.075	GSIgroup7	MLE	-3
0.075	GSIgroup8	MLE	-10
0.075	GSIgroup9	MLE	-6
0.075	pbtGroup1	MLE	-1
0.075	pbtGroup10	MLE	-1
0.075	pbtGroup11	MLE	-3
0.075	pbtGroup12	MLE	2
0.075	pbtGroup13	MLE	2
0.075	pbtGroup14	MLE	4
0.075	pbtGroup15	MLE	1
0.075	pbtGroup16	MLE	-1
0.075	pbtGroup17	MLE	-1
0.075	pbtGroup18	MLE	5
0.075	pbtGroup19	MLE	1
0.075	pbtGroup2	MLE	-1
0.075	pbtGroup20	MLE	4
0.075	pbtGroup21	MLE	8
0.075	pbtGroup22	MLE	5
0.075	pbtGroup23	MLE	-2
0.075	pbtGroup24	MLE	-5
0.075	pbtGroup25	MLE	1
0.075	pbtGroup3	MLE	-3
0.075	pbtGroup4	MLE	-1
0.075	pbtGroup5	MLE	-4
0.075	pbtGroup6	MLE	-1
0.075	pbtGroup7	MLE	1
0.075	pbtGroup8	MLE	2
0.075	pbtGroup9	MLE	-2
0.1	GSIgroup1	MLE	-1
0.1	GSIgroup10	MLE	-7
0.1	GSIgroup2	MLE	0
0.1	GSIgroup3	MLE	0
0.1	GSIgroup4	MLE	1
0.1	GSIgroup5	MLE	-3
0.1	GSIgroup6	MLE	3
0.1	GSIgroup7	MLE	-1
0.1	GSIgroup8	MLE	1
0.1	GSIgroup9	MLE	-2
0.1	pbtGroup1	MLE	0
0.1	pbtGroup10	MLE	-1
0.1	pbtGroup11	MLE	5
0.1	pbtGroup12	MLE	-1
0.1	pbtGroup13	MLE	1
0.1	pbtGroup14	MLE	0
0.1	pbtGroup15	MLE	1
0.1	pbtGroup16	MLE	-2
0.1	pbtGroup17	MLE	0
0.1	pbtGroup18	MLE	2
0.1	pbtGroup19	MLE	0
0.1	pbtGroup2	MLE	0
0.1	pbtGroup20	MLE	1
0.1	pbtGroup21	MLE	-3
0.1	pbtGroup22	MLE	5
0.1	pbtGroup23	MLE	-5
0.1	pbtGroup24	MLE	-2
0.1	pbtGroup25	MLE	5
0.1	pbtGroup3	MLE	1
0.1	pbtGroup4	MLE	0
0.1	pbtGroup5	MLE	0
0.1	pbtGroup6	MLE	1
0.1	pbtGroup7	MLE	1
0.1	pbtGroup8	MLE	0
0.1	pbtGroup9	MLE	-1
0.15	GSIgroup1	MLE	1
0.15	GSIgroup10	MLE	-12
0.15	GSIgroup2	MLE	2
0.15	GSIgroup3	MLE	2
0.15	GSIgroup4	MLE	0
0.15	GSIgroup5	MLE	0
0.15	GSIgroup6	MLE	1
0.15	GSIgroup7	MLE	-1
0.15	GSIgroup8	MLE	4
0.15	GSIgroup9	MLE	20
0.15	pbtGroup1	MLE	-1
0.15	pbtGroup10	MLE	1
0.15	pbtGroup11	MLE	-3
0.15	pbtGroup12	MLE	2
0.15	pbtGroup13	MLE	-2
0.15	pbtGroup14	MLE	-2
0.15	pbtGroup15	MLE	2
0.15	pbtGroup16	MLE	1
0.15	pbtGroup17	MLE	2
0.15	pbtGroup18	MLE	0
0.15	pbtGroup19	MLE	-3
0.15	pbtGroup2	MLE	0
0.15	pbtGroup20	MLE	-1
0.15	pbtGroup21	MLE	-5
0.15	pbtGroup22	MLE	-5
0.15	pbtGroup23	MLE	-2
0.15	pbtGroup24	MLE	0
0.15	pbtGroup25	MLE	1
0.15	pbtGroup3	MLE	-1
0.15	pbtGroup4	MLE	2
0.15	pbtGroup5	MLE	-1
0.15	pbtGroup6	MLE	-1
0.15	pbtGroup7	MLE	-2
0.15	pbtGroup8	MLE	1
0.15	pbtGroup9	MLE	-1
0.2	GSIgroup1	MLE	-1
0.2	GSIgroup10	MLE	-13
0.2	GSIgroup2	MLE	0
0.2	GSIgroup3	MLE	1
0.2	GSIgroup4	MLE	4
0.2	GSIgroup5	MLE	0
0.2	GSIgroup6	MLE	-2
0.2	GSIgroup7	MLE	0
0.2	GSIgroup8	MLE	1
0.2	GSIgroup9	MLE	5
0.2	pbtGroup1	MLE	1
0.2	pbtGroup10	MLE	-1
0.2	pbtGroup11	MLE	1
0.2	pbtGroup12	MLE	0
0.2	pbtGroup13	MLE	1
0.2	pbtGroup14	MLE	1
0.2	pbtGroup15	MLE	1
0.2	pbtGroup16	MLE	0
0.2	pbtGroup17	MLE	0
0.2	pbtGroup18	MLE	-1
0.2	pbtGroup19	MLE	0
0.2	pbtGroup2	MLE	0
0.2	pbtGroup20	MLE	0
0.2	pbtGroup21	MLE	-2
0.2	pbtGroup22	MLE	3
0.2	pbtGroup23	MLE	-1
0.2	pbtGroup24	MLE	2
0.2	pbtGroup25	MLE	1
0.2	pbtGroup3	MLE	1
0.2	pbtGroup4	MLE	-1
0.2	pbtGroup5	MLE	1
0.2	pbtGroup6	MLE	-2
0.2	pbtGroup7	MLE	0
0.2	pbtGroup8	MLE	1
0.2	pbtGroup9	MLE	-1
0.25	GSIgroup1	MLE	2
0.25	GSIgroup10	MLE	3
0.25	GSIgroup2	MLE	0
0.25	GSIgroup3	MLE	-1
0.25	GSIgroup4	MLE	-2
0.25	GSIgroup5	MLE	-1
0.25	GSIgroup6	MLE	5
0.25	GSIgroup7	MLE	2
0.25	GSIgroup8	MLE	0
0.25	GSIgroup9	MLE	-3
0.25	pbtGroup1	MLE	0
0.25	pbtGroup10	MLE	1
0.25	pbtGroup11	MLE	-1
0.25	pbtGroup12	MLE	-1
0.25	pbtGroup13	MLE	0
0.25	pbtGroup14	MLE	-1
0.25	pbtGroup15	MLE	-3
0.25	pbtGroup16	MLE	1
0.25	pbtGroup17	MLE	0
0.25	pbtGroup18	MLE	1
0.25	pbtGroup19	MLE	-3
0.25	pbtGroup2	MLE	-1
0.25	pbtGroup20	MLE	0
0.25	pbtGroup21	MLE	-1
0.25	pbtGroup22	MLE	1
0.25	pbtGroup23	MLE	3
0.25	pbtGroup24	MLE	1
0.25	pbtGroup25	MLE	3
0.25	pbtGroup3	MLE	-1
0.25	pbtGroup4	MLE	-1
0.25	pbtGroup5	MLE	-1
0.25	pbtGroup6	MLE	0
0.25	pbtGroup7	MLE	-1
0.25	pbtGroup8	MLE	0
0.25	pbtGroup9	MLE	-2
0.3	GSIgroup1	MLE	1
0.3	GSIgroup10	MLE	7
0.3	GSIgroup2	MLE	-1
0.3	GSIgroup3	MLE	2
0.3	GSIgroup4	MLE	-5
0.3	GSIgroup5	MLE	-1
0.3	GSIgroup6	MLE	4
0.3	GSIgroup7	MLE	-1
0.3	GSIgroup8	MLE	-1
0.3	GSIgroup9	MLE	2
0.3	pbtGroup1	MLE	0
0.3	pbtGroup10	MLE	0
0.3	pbtGroup11	MLE	1
0.3	pbtGroup12	MLE	0
0.3	pbtGroup13	MLE	0
0.3	pbtGroup14	MLE	0
0.3	pbtGroup15	MLE	-1
0.3	pbtGroup16	MLE	1
0.3	pbtGroup17	MLE	-2
0.3	pbtGroup18	MLE	-2
0.3	pbtGroup19	MLE	0
0.3	pbtGroup2	MLE	0
0.3	pbtGroup20	MLE	1
0.3	pbtGroup21	MLE	-1
0.3	pbtGroup22	MLE	-2
0.3	pbtGroup23	MLE	2
0.3	pbtGroup24	MLE	3
0.3	pbtGroup25	MLE	-5
0.3	pbtGroup3	MLE	0
0.3	pbtGroup4	MLE	0
0.3	pbtGroup5	MLE	-1
0.3	pbtGroup6	MLE	1
0.3	pbtGroup7	MLE	1
0.3	pbtGroup8	MLE	-1
0.3	pbtGroup9	MLE	0
0.35	GSIgroup1	MLE	3
0.35	GSIgroup10	MLE	-1
0.35	GSIgroup2	MLE	-2
0.35	GSIgroup3	MLE	-3
0.35	GSIgroup4	MLE	0
0.35	GSIgroup5	MLE	0
0.35	GSIgroup6	MLE	-2
0.35	GSIgroup7	MLE	0
0.35	GSIgroup8	MLE	5
0.35	GSIgroup9	MLE	-4
0.35	pbtGroup1	MLE	0
0.35	pbtGroup10	MLE	-1
0.35	pbtGroup11	MLE	0
0.35	pbtGroup12	MLE	0
0.35	pbtGroup13	MLE	0
0.35	pbtGroup14	MLE	0
0.35	pbtGroup15	MLE	1
0.35	pbtGroup16	MLE	0
0.35	pbtGroup17	MLE	0
0.35	pbtGroup18	MLE	2
0.35	pbtGroup19	MLE	0
0.35	pbtGroup2	MLE	-1
0.35	pbtGroup20	MLE	-3
0.35	pbtGroup21	MLE	1
0.35	pbtGroup22	MLE	1
0.35	pbtGroup23	MLE	-1
0.35	pbtGroup24	MLE	2
0.35	pbtGroup25	MLE	3
0.35	pbtGroup3	MLE	-2
0.35	pbtGroup4	MLE	0
0.35	pbtGroup5	MLE	0
0.35	pbtGroup6	MLE	0
0.35	pbtGroup7	MLE	0
0.35	pbtGroup8	MLE	-1
0.35	pbtGroup9	MLE	1
0.4	GSIgroup1	MLE	-1
0.4	GSIgroup10	MLE	-5
0.4	GSIgroup2	MLE	2
0.4	GSIgroup3	MLE	-2
0.4	GSIgroup4	MLE	4
0.4	GSIgroup5	MLE	1
0.4	GSIgroup6	MLE	-1
0.4	GSIgroup7	MLE	3
0.4	GSIgroup8	MLE	-2
0.4	GSIgroup9	MLE	1
0.4	pbtGroup1	MLE	0
0.4	pbtGroup10	MLE	0
0.4	pbtGroup11	MLE	-2
0.4	pbtGroup12	MLE	0
0.4	pbtGroup13	MLE	0
0.4	pbtGroup14	MLE	0
0.4	pbtGroup15	MLE	0
0.4	pbtGroup16	MLE	0
0.4	pbtGroup17	MLE	-1
0.4	pbtGroup18	MLE	1
0.4	pbtGroup19	MLE	1
0.4	pbtGroup2	MLE	1
0.4	pbtGroup20	MLE	1
0.4	pbtGroup21	MLE	1
0.4	pbtGroup22	MLE	0
0.4	pbtGroup23	MLE	-1
0.4	pbtGroup24	MLE	1
0.4	pbtGroup25	MLE	1
0.4	pbtGroup3	MLE	0
0.4	pbtGroup4	MLE	-1
0.4	pbtGroup5	MLE	-1
0.4	pbtGroup6	MLE	1
0.4	pbtGroup7	MLE	0
0.4	pbtGroup8	MLE	0
0.4	pbtGroup9	MLE	0
