sr	group	covSD	covMLE
0.15	pbtGroup9	0.904	0.9
0.2	GSIgroup1	0.908	0.906
0.2	GSIgroup10	0.886	0.884
0.2	GSIgroup2	0.902	0.906
0.2	GSIgroup3	0.886	0.886
0.2	GSIgroup4	0.936	0.94
0.2	GSIgroup5	0.886	0.89
0.2	GSIgroup6	0.922	0.912
0.2	GSIgroup7	0.874	0.878
0.2	GSIgroup8	0.904	0.902
0.2	GSIgroup9	0.906	0.904
0.2	pbtGroup1	0.888	0.894
0.2	pbtGroup10	0.886	0.886
0.2	pbtGroup11	0.906	0.904
0.2	pbtGroup12	0.88	0.886
0.2	pbtGroup13	0.89	0.89
0.2	pbtGroup14	0.874	0.88
0.2	pbtGroup15	0.906	0.902
0.2	pbtGroup16	0.908	0.91
0.2	pbtGroup17	0.888	0.896
0.2	pbtGroup18	0.898	0.892
0.2	pbtGroup19	0.904	0.908
0.2	pbtGroup2	0.86	0.862
0.2	pbtGroup20	0.906	0.916
0.2	pbtGroup21	0.876	0.876
0.2	pbtGroup22	0.912	0.916
0.2	pbtGroup23	0.902	0.9
0.2	pbtGroup24	0.878	0.88
0.2	pbtGroup25	0.932	0.932
0.2	pbtGroup3	0.884	0.892
0.2	pbtGroup4	0.886	0.892
0.2	pbtGroup5	0.89	0.888
0.2	pbtGroup6	0.892	0.896
0.2	pbtGroup7	0.9	0.9
0.2	pbtGroup8	0.91	0.908
0.2	pbtGroup9	0.89	0.896
0.25	GSIgroup1	0.892	0.892
0.25	GSIgroup10	0.87	0.868
0.25	GSIgroup2	0.898	0.902
0.25	GSIgroup3	0.904	0.908
0.25	GSIgroup4	0.908	0.908
0.25	GSIgroup5	0.914	0.91
0.25	GSIgroup6	0.906	0.91
0.25	GSIgroup7	0.92	0.92
0.25	GSIgroup8	0.896	0.89
0.25	GSIgroup9	0.894	0.896
0.25	pbtGroup1	0.9	0.898
0.25	pbtGroup10	0.906	0.902
0.25	pbtGroup11	0.878	0.884
0.25	pbtGroup12	0.898	0.898
0.25	pbtGroup13	0.884	0.882
0.25	pbtGroup14	0.894	0.894
