group	MLE	Ac	NoEx
GSIgroup3_cat1	1769	1822	1763
GSIgroup3_cat2	902	997	1010
GSIgroup9_cat1	19320	20168	175855
GSIgroup9_cat2	19843	20703	889198
pbtGroup11_cat1	865	865	1043
pbtGroup11_cat2	1759	1746	5350
pbtGroup25_cat1	4862	4892	41579
pbtGroup25_cat2	11103	11386	217165
pbtGroup8_cat1	486	485	464
pbtGroup8_cat2	1041	1227	2503
