group	type	MSE
GSIgroup10_cat1	Ac	17739
GSIgroup10_cat2	Ac	21563
GSIgroup2_cat1	Ac	981
GSIgroup2_cat2	Ac	437
GSIgroup3_cat1	Ac	1822
GSIgroup3_cat2	Ac	997
GSIgroup4_cat1	Ac	2125
GSIgroup4_cat2	Ac	1312
GSIgroup5_cat1	Ac	3314
GSIgroup5_cat2	Ac	3693
GSIgroup6_cat1	Ac	3396
GSIgroup6_cat2	Ac	3587
GSIgroup7_cat1	Ac	2723
GSIgroup7_cat2	Ac	2125
GSIgroup8_cat1	Ac	8764
GSIgroup8_cat2	Ac	10815
GSIgroup9_cat1	Ac	20168
GSIgroup9_cat2	Ac	20703
pbtGroup1_cat2	Ac	750
pbtGroup10_cat1	Ac	588
pbtGroup10_cat2	Ac	1310
pbtGroup11_cat1	Ac	865
pbtGroup11_cat2	Ac	1746
pbtGroup12_cat1	Ac	568
pbtGroup12_cat2	Ac	1513
pbtGroup13_cat1	Ac	1185
pbtGroup13_cat2	Ac	1216
pbtGroup14_cat1	Ac	892
pbtGroup14_cat2	Ac	1871
pbtGroup15_cat1	Ac	920
pbtGroup15_cat2	Ac	2026
pbtGroup16_cat1	Ac	1056
pbtGroup16_cat2	Ac	2395
pbtGroup17_cat1	Ac	1198
pbtGroup17_cat2	Ac	3052
pbtGroup18_cat1	Ac	1639
pbtGroup18_cat2	Ac	4000
pbtGroup19_cat1	Ac	1539
pbtGroup19_cat2	Ac	3482
pbtGroup2_cat1	Ac	364
pbtGroup2_cat2	Ac	762
pbtGroup20_cat1	Ac	1657
pbtGroup20_cat2	Ac	3904
pbtGroup21_cat1	Ac	1916
pbtGroup21_cat2	Ac	4081
pbtGroup22_cat1	Ac	1932
pbtGroup22_cat2	Ac	4141
pbtGroup23_cat1	Ac	2129
pbtGroup23_cat2	Ac	4484
pbtGroup24_cat1	Ac	2207
pbtGroup24_cat2	Ac	4380
pbtGroup25_cat1	Ac	4892
pbtGroup25_cat2	Ac	11386
pbtGroup3_cat1	Ac	376
pbtGroup3_cat2	Ac	903
pbtGroup4_cat1	Ac	497
pbtGroup4_cat2	Ac	1154
pbtGroup5_cat1	Ac	500
pbtGroup5_cat2	Ac	1233
pbtGroup6_cat1	Ac	383
