group	MLE	Ac	NoEx
GSIgroup3_cat1	1	1	-5
GSIgroup3_cat2	-1	1	-14
GSIgroup6_cat1	1	2	-65
GSIgroup6_cat2	-12	-1	-154
GSIgroup9_cat1	-3	-3	-404
GSIgroup9_cat2	-4	-2	-938
pbtGroup11_cat1	0	0	31
pbtGroup11_cat2	0	0	72
pbtGroup24_cat1	3	1	87
pbtGroup24_cat2	3	-1	202
pbtGroup8_cat1	1	-2	20
pbtGroup8_cat2	5	-1	49
